org_name,org_link,org_gsoc_link,project_details_link,technology,topics,project_details
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/G4lhhRgz,"java, gwt, junit, Ant","web, App building",The project aims to set up a code coverage metric with additional unit tests to test the GWT  client code. We will be using Jacoco a as code coverage metric and writing the Junit tests to unit test the GWT client code.
OpenStreetMap,https://www.openstreetmap.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap,https://summerofcode.withgoogle.com/programs/2023/projects/PiLUxU6Z,"python, c++",routing,"Develop Python bindings to the OSRM C++ framework using pybind11, with the end goal of publishing the package to PyPI.
This would allow OSRM to function as a Python library, as well as increase ease of use via the existence of PyPI packages.

The main deliverable would include a functioning Python library via binding to the C++ framework - and published on PyPI."
OpenStreetMap,https://www.openstreetmap.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap,https://summerofcode.withgoogle.com/programs/2023/projects/HIQ2dR9w,"c++, software engineering, Algorithms and data structures, Data management","databases, Geographic information systems, Routing engine, Navigation Services","The aim of this project is to enhance Valhalla's route guidance by enabling landmark-based navigation/narration, which will utilize OpenStreetMap's (OSM) points of interest (POIs) to provide natural guidance. 

We plan to investigate the use of landmarks in route directions and develop a methodology for incorporating POIs into Valhalla's route guidance system. Our proposed methodology will be implemented and evaluated through a series of experiments designed to measure the effectiveness and usability of the landmark-based navigation system. The results of the project will contribute to our understanding of how landmarks can be utilized in route guidance systems, and hopefully lead to improvements in daily navigations. 

Our deliverables include new data structures for landmarks, a detailed design of database and storage, an update on existing and new components, ideally a design of new landmark enabled phrases, an improvement of direction generation process, information serialization for json responses, and an evaluation report on the effectiveness and usability of the landmark-based navigation system, etc."
OpenStreetMap,https://www.openstreetmap.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap,https://summerofcode.withgoogle.com/programs/2023/projects/0TtY6g6k,python,morphological analysis,"Japanese addresses are unique and have a different system compared to other countries. The address format is in block style, and is different from address formats in other regions. In addition, the language used is Japanese, and English is not commonly used. As a result, Japanese users face many challenges when searching for locations in Japan using Nominatim. In this proposal, I will address the issue of Japanese Kanji being recognized as Chinese characters, resulting in incorrect locations being returned. Specifically, we will conduct morphological analysis on Japanese searches and perform proper word segmentation at appropriate positions.

The objectives of this proposal are as follows:
Ensure that Nominatim does not mistake Japanese searches for Chinese.
Ensure that Japanese location searches return locations within Japan.
Ensure that Nominatim correctly identifies the block and house numbers in Japanese addresses, avoiding confusion between the two."
OpenStreetMap,https://www.openstreetmap.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap,https://summerofcode.withgoogle.com/programs/2023/projects/2ef3Fr1d,"java, xml","geocoding, Geographic Information System","Vespucci, the Android editor for OpenStreetMap, uses the JOSM-compatible presets for tagging. Vespucci, however, has evolved to support far greater functionalities than those supported in JOSM. These functionalities include attributes like 'deprecated', which indicates a deprecated preset item, 'regions', and 'exclude_regions' for localisation, and 'value_type' to indicate the type of value, among many others. The project aims at adding these additional attributes to JOSM. Incorporating these attributes will provide a better user experience across the editors, improving the usability and functionality of JOSM."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/enTZ8jSS,"javascript, react, typescript",web,"The new Project Builder Framework for Music Blocks v4 will revolutionize the way children and beginners learn programming.  To implement this project, we will integrate the Project Builder Framework with the new Music Blocks and wrap it in a component to facilitate easy integration with the Specification and Syntax Tree APIs. Additionally, we will create a palette component and refactor the existing codebase. The final Result after the Implementation of idea will provide kids to learn Programming concepts in an integrative and fun way.

This project is a significant step towards the complete new Music Blocks, with a focus on performance improvements and new features. Leveraging modern JavaScript technologies and a better application architecture, the new Music Blocks will ensure a smooth and reliable user experience. Overall, this project has the potential to transform the way we teach programming to children and beginners, making it more accessible and enjoyable for everyone."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/0itGSuKZ,"pygame, gdk, Telepathy, PyGobject, Presence",education,"This project aims to enhance a variety of educational activities by implementing improvements and introducing new features. The proposed changes cover a range of activities, including Cell Game, Turtleart-activity, Chat-activity, 2 Cars-activity, Chess activity, TextDungeon, Browse-activity, Flappy/Flappy-birds, Jukebox-activity, Lemonade Stand, Calculate activity, and Solar System activity.

The improvements involve addressing existing issues, refining UI elements, adding support for different input methods, and providing more engaging content. Some of the planned solutions include adding in-game tutorials, adapting layouts for various window sizes, enabling collaboration features, integrating more captivating stories, and introducing educational elements to existing games.

Upon acceptance of this proposal, the deliverables will include the successful implementation of these enhancements across the aforementioned activities, resulting in a more engaging, accessible, and educational experience for users."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/3SXikrbB,"pygame, Python3, Python2, gtk+ 3","game, Python Application, Desktop software","Sugar has a lot of activities, with 250+ on GitHub, and more elsewhere. These have scope for improvement; bugs, features, updated human translations, and release. This project will involve working on at least 12 activities to improve them."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/JfbBXbUA,Html Css JavaScript,Maintenance/bug fixes for Music Blocks 3,"Using HTML CSS and JavaScript to-,

1. Maintain the Music Block v3 and fixing bugs related to Styling, Browser specific, improving the overall layout of the website and solving High priority issues .

2. Adding new functionalities like Recording feature , Full screen mode ,and touch scrolling"
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/Rti7iZKG,"typescript, redux, hooks, React v18, JavaScript DOM API, DOM Manipulation, Canvas API","web, gui, Utility","The Music Blocks v4 project is a complete overhaul of the original Music Blocks project, which was derived from the Turtle Blocks project. The existing implementation, which started in 2015 using native Vanilla JavaScript, lacks modern front-end tooling and ecosystem standards, leading to difficulties in maintenance and subpar performance.

The v4 project uses improved application architecture, modern tools (such as Vite, ESLint, Prettier, Docker, Jest, Cypress, etc.), better languages (TypeScript and Sass), and libraries (React for UI rendering). This will significantly enhance the overall developer and user experience, maintainability, and performance.

The proposal focuses on implementing one of the main features of Music Blocks, the ""Project Builder"", which is currently missing in the new version (v4). The Project Builder is a graphical blocks manager module used to create Music Blocks programs, including interactive blocks like Start, Rhythm, Note, Pitch, Instrument, and many more. These blocks can be dragged, dropped, and clicked to perform actions or open context menus.

By implementing the Project Builder feature end-to-end, users will be able to create different musical patterns seamlessly. This will bring the v4 project on par with the capabilities of the old version (v1) and provide a more accessible, efficient, and user-friendly application for users to create music through an interactive web application."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/GUSDsFPO,"python, gtk, pygame",vision,"A number of Sugar activities are bundled with Flatpak as a way to reach a broader audience within the Linux community.
This project aims to keep those activities up to date and also port new sugar activities to Flatpak, including the two popular activities Pippy and Physics."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/YxWqJ2nt,"javascript, react, html, css, vue","education, web, games","The Chart activity offers various features, such as creating customized charts, collaborate with their peers, exporting charts, and using different chart types. It's a useful tool for teachers as it makes it easier to help students understand charts and create charts for academic purposes. The new Word Puzzle template in the Exerciser
activity allows teachers to quickly create custom word puzzles on-the-fly during
lessons using any media or text format, giving learners an interactive way to practice vocabulary."
Sugar Labs,https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs,https://summerofcode.withgoogle.com/programs/2023/projects/pGTPicND,"javascript, vue.js, vue","web, web development","The aim is to reimplement the Sugarizer Core architecture using Vue.js components, in order to update and improve the current implementation that relies on Enyo.js, a deprecated web framework. By utilizing Sugarizer Vue.js components, we can ensure that Sugarizer remains a modern and efficient tool for its users.

The proposed project involves a comprehensive redesign of the Sugarizer Core UI, which includes developing new Vue.js components and integrating them with the existing Sugarizer codebase. The new components will be designed to improve the user experience, increase efficiency, and enhance the functionality of the app."
CircuitVerse.org,http://circuitverse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg,https://summerofcode.withgoogle.com/programs/2023/projects/eg17qD6w,"javascript, ruby, typescript, rails, vue.js","web, Simulator, API Design, Digital logic circuit","This project focuses on finishing up development of Vue.js circuit simulator, alongside converting the existing JavaScript codebase to TypeScript, ensuring a more robust and maintainable platform. The transition to Vue.js and TypeScript will enhance the simulator's performance, stability, and scalability. Key aspects of the project include integrating the simulator with the main repository, setting up TypeScript, API integration and testing, implementing additional features, and refining the user experience."
CircuitVerse.org,http://circuitverse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg,https://summerofcode.withgoogle.com/programs/2023/projects/M6IuWv4f,"javascript, canvas",web,"The Simulator Stability Improvements project is focused on enhancing the stability and reliability of simulation environments. The project aims to address common issues such as crashes, slow performance, and unexpected behavior that can disrupt the simulation experience for complex circuits.

The goals of the project are: 

1. Find and fix Data integrity issues that cause data corruption for many users.
2. Implement a debug interface on the simulator that gives us more information about the simulator state from the dev console, allows us to load circuits, and dynamically load and unload parts of the circuit.
3. Find out the areas where we need to write code more defensively instead of expecting data always in the proper format.
4. Implement a safe recovery from simulator crashes.
5. Make a better system for high impedance (X) values."
CircuitVerse.org,http://circuitverse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg,https://summerofcode.withgoogle.com/programs/2023/projects/HREzTBkH,"ruby, docker, bash, rails, Gitpod, github codespaces","Development Experience Improvement, remote development platform integration","This project is dedicated to streamlining and enhancing the CircuitVerse development experience. Our primary objective is to simplify the setup of the development environment and streamline the coding process, ultimately making it more efficient. Furthermore, we aim to bolster the quality of our test cases and optimize the continuous integration (CI) workflow, which will, in turn, reduce the time required for code reviews by our maintainers.

--
Throughout this project, our key objectives include:

1. Integrating the Ruby Debugger
2. Incorporating Solargraph Language Server Protocol (LSP) and Crafting YARD Documentation
3. Integrating Vite Rails for Improved Development Workflow
4. Incorporating RBS in the Project and Implementing Static Type Checking in CI
5. Implementing Undercover CI for Enhanced Code Coverage Analysis
6. Enhancing Unit Testcase Coverage
7. Adding Missing Integration Testcases
8. Enhancing the Remote Development Platform (GitHub Codespaces, Gitpod)
9. Improving the Docker Development Setup
10. Enhancing Setup Documentation for Developers"
CircuitVerse.org,http://circuitverse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg,https://summerofcode.withgoogle.com/programs/2023/projects/r2R8ARJ9,"ruby, docker, rails, OpenTelemetry","education, web, devops, simulation, digital logic design","The 12 Factor Application project is a methodology for building and deploying scalable, maintainable, and suitable software applications. The project is based on 12 key principles that outline best practices for developing and deploying software applications. Project Goals are : 
1. Make CircuitVerse a 12 factor application.
2. Progressively convert CircuitVerse previews and profile avatars to object storage.
3. Improve observability using OpenTelemetry.
4. Drop visitor tracking by storing user details and adopt HyperLogLog for project view count.
5. Zero downtime deployment pipeline with GitHub Actions and Kamal.
6. Monitoring server with Monit."
Mathesar,https://mathesar.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/mathesar,https://summerofcode.withgoogle.com/programs/2023/projects/A3gI5pYL,"python, django, sql, sqlalchemy","databases, web","Mathesar is an open-source, web-based database management tool that is easy to use, flexible, and scalable.  It provides users a simple, intuitive interface for managing their databases, including creating and editing tables, defining relationships between tables, and querying data.

Mathesar UI allows users to import data from CSV and TSV files. We aim to expand this functionality into importing JSON and Excel files too. The project will allow users to import JSON and Excel files and create a table from the imported data. The user can preview the table, remove/rename columns, change data types, and more. If the imported file is not in a suitable format for creating a table, we will develop algorithms to convert the file into a suitable format. If the algorithm doesn’t work, the system will refuse to import the file and give the user a readable error."
Mathesar,https://mathesar.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/mathesar,https://summerofcode.withgoogle.com/programs/2023/projects/D9XvkQCN,"postgresql, javascript, django, sqlalchemy, svelte","databases, web, data, nonprofit, self-hosted","The Mathesar Data Explorer enables an action called “Summarize” that let a user view a summary of their data, which is in fact an aggregation of some column(s), grouped by some other column(s). Currently, the only possible aggregation functions are counting or listing. This proposal aims that at the end of GSoC '23 period, there will be more aggregation functions (Mean, Median, Sum, Min, Max) will be available to the user to transform the data."
ScummVM,https://www.scummvm.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm,https://summerofcode.withgoogle.com/programs/2023/projects/HzM31ka6,"c++, bash","game, Game Packages, Downloader, ScummVM Bundler","This project aims to develop an automated system that simplifies the packaging of freeware games for various platforms (like google play, steam, etc.). This system includes predefined platform-specific rules to generate game packages. The resulting distributable is ready for uploading to different platforms, including Linux, Google Play, Apple App Store, Steam, and ForgeTV store. Users can then browse and download these game packages using the proposed ScummVM downloader GUI. Moreover, the system also includes a bundler script that bundles the game with ScummVM to create a standalone application for distribution."
ScummVM,https://www.scummvm.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm,https://summerofcode.withgoogle.com/programs/2023/projects/vvsx36fu,"c++, Lingo",games,"The proposal outlines a plan to increase compatibility for two classic games, ""Total Distortion"" and ""The Journeyman Project,"" on the ScummVM platform. The project aims to fix bugs, thoroughly test the games, and ensure they are production-ready by the end of the timeline. The project's benefits include increased access to classic games, increased community engagement, improved stability of the Director engine, and increased interest in the engine. The deliverables include identifying and fixing bugs, prioritizing issues, regression testing, and rigorous testing for official support!"
ScummVM,https://www.scummvm.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm,https://summerofcode.withgoogle.com/programs/2023/projects/0o0ja1qw,"c++, SDL2","game, graphics, Game-Engine","The SCUMMVM project with its hundreds of engines can run a huge library of games. It
welcomes the addition of new engines to further increase the number of games it supports. This project aims to integrate the CRAB engine in SCUMMVM. The CRAB engine was
developed by Pyrodactyl Games and was used in several of the games which the studio
released. Most notably, this engine was used in the game called Unrest, a story-driven adventure RPG set in ancient India that adapts to death, failure, and the choices the player makes."
ScummVM,https://www.scummvm.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm,https://summerofcode.withgoogle.com/programs/2023/projects/RYExURAF,"c, c++, Allegro, Graphics Programming","media, optimization, Graphics Programming","I will have a system set up to test the speed of the drawing/blending code in AGS games, and I will have optimized the code by some amount by the end of the project. To start I will take closer looks into engines/ags/lib/allegro/surface.cpp and other related files to find how the BITMAP::draw function and other blending functions work, and then optimize them.

The drawing/blending functionality of the AGS engine will be faster.
The project can be split into 2 major parts:
    Finding the best way I can test the speed of the drawing/blending code
    Optimizing the drawing/blending code"
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/pmQsJm1C,"prometheus, go, protobuf","encoding, prometheus","The proposal consists in treating the time series creation time as another metadata. We propose a few incremental improvements that can be released separately, and therefore faster.

We start by dropping time series when negotiating OpenMetrics format. Then changing the current metadata behavior to be correlated with MetricPoint instead of MetricFamily. The third step is storing the last seen value of _created for each MetricPoint. Lastly, storing a symbolic value each time the _created timestamp minus the scrape timestamp is lower than the scrape interval."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/uEZfWgBc,"c++, sql","database, Distributed File System","CurveBS currently use etcd as metadata storage but etcd has limited scalability, and the amount of metadata that can be stored is limited.So i plan to add a MySQL database as one of the storage engines and let user choose whether the metadata is stored in the kv engine or the sql engine through the configuration file.
Deliverables:
1.A new SQL storage client implementation for metadata in CurveBS.
2.Configuration options to choose between kv engine and SQL engine for metadata storage.
3.Modifications to the leader election process to support the new SQL storage client.
4.Documentation on how to configure and use the new SQL storage client.
5.Tests to ensure the new SQL storage client works as expected and is compatible with existing functionality.
6.Release notes detailing the changes and improvements made to CurveBS with the addition of the new SQL storage client."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/OL9wVCop,"golang, docker, BuildPacks",cloud,Build out samples and workflows showing how to use Dockerfiles in harmony with a cloud native buildpacks platform. Need to update the pack implementation to be more performant by taking advantage of the available daemon and updating documentation and sample workflows to reflect the changes.
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/BHsUqzLn,"java, kubernetes, apache kafka","cloud, cloud-native","Overview:
In the current scenario, the Knative Eventing Kafka Broker's data-plane communication with Apache Kafka for consuming and producing records is done via the Vert.x-Kafka-client library which is basically a wrapper for communications with Apache Kafka inside the Vert.x threading model.  
Objictive:
This project idea aims to implement the Knative Kafka Broker data-plane communication with the native Apache-kafka-client library working on Java 19 and evaluate OpenJDK 19's Project Loom and leverage its virtual threads for efficient and concurrent communication with the Apache Kafka cluster."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/N5cWUVl7,"go, git, kubernetes, typescript, ci/cd, Ginkgo",cloud,"The introduction of external plugin extends the functionality of the Kubebuilder CLI tool by allowing users to create and use custom plugins. These plugins can be written in any programming language, as long as they implement the interface specifications to interact with Kubebuilder.

This proposal aims to provide best practices based on tutorials, testing and documentation. 

It also suggests the kube-state-metrics plugin as a sample project, which would scaffold the configuration for KSM to load and populate metrics for CR/CRD.
 
The overall efforts are attempted to guide Kubernetes developers to learn how to write, install, and use their own Kubebuilder plugins."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/rydbL7aP,"prometheus, golang, sql, clickhouse, OpenTelemetry, Jaeger","database, tracing, observability","This project aims at leveraging the current community jaeger-clickhouse storage plugin and making ClickHouse one of the core storage backend for Jaeger, besides Cassandra and ElasticSearch."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/0EWL96Fd,"shell, golang, docker, kubernetes, GitHub Action","cloud, eBPF, KubeArmor","Our goal is to create a Github Action from KubeArmor, which will be used by other Github projects. This Github Action, using KubeArmor, will be used to identify changes in the application posture.
For example, if a project creates v0.1, and then a release v0.2 is made, the Github Action should provide us with a view of all the changes that occurred in the application from v0.1 to v0.2, such as what new processes are being spawned and what new file accesses are being made."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/xwEB63cl,"go, rust",containers,"Running containers with podman using conmon-rs as the container monitor.


This requires additional features to be implemented in conmon-rs and an extension of podman to use the new conmon-rs go client as an alternative to the existing conmon binary executable."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/BuyO59lV,"GitHub Actions, Python scripts","web, documentation, automations","Streamlining the OFEP process for enhancing community engagement through automation scripts by doing almost everything they can, from creating proposals by asking questions to users to making the process interactive to assigning and reminding reviewers through Github and Slack. This also involves automating their publishing of the accepted/declined ideas to a newly made website. This would involve me constantly taking feedback from the community to enhance the overall process of contributing the best ideas, hence fostering faster long-term growth of the overall project."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/e7z3n3kH,"prometheus, golang, kubernetes, Observability","metrics, devops, cloud native, observability","Currently, the Metrics Controller in the Keptn Lifecycle Toolkit only allows querying a single value per metric. This project will enable users to define timeframes for metrics and get standardized aggregated results for the given timeframe. The addition of time frames for metrics would provide developers with a lot of flexibility when analyzing their application’s performance as they would be able to easily switch between different timeframes to get a better understanding of how their application is performing. This can be achieved by modifying the structure of the Metric CRD by adding certain fields and then modifying the APIs of our Metric providers to support these newly added fields. The metrics controller would be able to query metrics over a timeframe and then return raw values from the providers which can then be passed to the aggregation functions to calculate the desired aggregated value. These values would be updated in the Metric CRD."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/urIdU9OC,"javascript, c/c++, react","security, webassembly, Rule-based systems","This project aims to improve Falco's capabilities by adding WebAssembly as a new officially-supported compilation target. The objective is to create a new development environment for security rules in a web single-page application, allowing Falco to run directly inside the browser. The goal is to provide a more versatile and user-friendly tool for developing and testing security rules. The plan is to leverage the Emscripten toolchain to accomplish this. The result will be a web-based application similar to the Go Playground, but without requiring any backend. The deliverables will include a fully functional development environment, a detailed guide for using the application, and documentation for the project."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/tQdgYCVe,"go, kubernetes, kubectl",cloud,"The proposal deals with the problem of the creation of a kubectl plugin for Armada, the creation of the desired plugin will allow users to communicate with Armada via kubectl. The solution this proposal provides is that in order to create a plugin for kubectl we need the help of armadactl i.e. command-line utility for Armada through which users submit their jobs to the Armada server. To develop a plugin for kubectl, we first must develop a base plugin for armadactl in Go that performs basic tasks such as submission and cancellation of jobs, creation of queues, etc. After the necessary coding for the plugin is finished, we now distribute that plugin over at Krew so that it is globally accessible. Once it is distributed at Krew, a user can install this plugin as a kubectl plugin and can interact with the Armada server and perform the aforementioned tasks."
CNCF,https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf,https://summerofcode.withgoogle.com/programs/2023/projects/vT5PhNL0,python,Secure Software Updation,"The TUF specification provides explicit guidelines for how artifacts should be hashed and later verified to guarantee their integrity. However, Content Addressable Systems like Git, IPFS (InterPlanetary File System) and OSTree have their own mechanisms for ensuring the integrity of artifacts. When TUF is used with these systems, it is redundant for it to also ensure artifact integrity. This project provides solution to this issue by delegating the responsibility of artifact integrity verification to the underlying content addressable systems themselves, while still using TUF to manage the metadata and provide additional security measures."
